incident_id,date,city,area_type,drug_type,crime_type,quantity_seized_g,offender_age,offender_gender,prior_offenses,repeat_offender,arrest_made,risk_level
DC04367,2022-01-01,Chennai,Industrial Area,Heroin,Public Consumption,34.65,39,Male,0,0,0,Low
DC00629,2022-01-01,Chennai,Commercial Zone,Cocaine,Public Consumption,12.82,22,Male,1,0,1,Low
DC04171,2022-01-01,Mumbai,Educational Zone,Cannabis,Trafficking,98.63,32,Male,1,0,1,High
DC02640,2022-01-01,Kolkata,Educational Zone,Prescription Drugs,Possession,44.22,37,Male,1,0,1,Low
DC04057,2022-01-01,Ahmedabad,Commercial Zone,MDMA,Public Consumption,28.97,42,Male,5,1,1,Medium
DC02750,2022-01-03,Kolkata,Educational Zone,Cocaine,Possession,43.94,28,Male,0,0,1,Low
DC03677,2022-01-04,Mumbai,Nightlife District,MDMA,Possession,5.24,16,Female,1,0,1,Low
DC00319,2022-01-04,Mumbai,Nightlife District,MDMA,Public Consumption,8.52,19,Male,1,0,1,Low
DC00195,2022-01-05,Delhi,Rural/Outskirts,Cannabis,Public Consumption,31.26,20,Male,1,0,0,Low
DC04898,2022-01-05,Delhi,Nightlife District,Cannabis,Distribution,38.52,25,Male,0,0,1,Low
DC00983,2022-01-06,Mumbai,Commercial Zone,Cannabis,Possession,35.47,26,Male,2,1,0,Low
DC03203,2022-01-06,Mumbai,Urban Residential,Cannabis,Possession,68.44,29,Male,0,0,1,Low
DC03433,2022-01-07,Pune,Urban Residential,MDMA,Public Consumption,27.5,21,Male,0,0,1,Low
DC01041,2022-01-07,Hyderabad,Urban Residential,Cannabis,Trafficking,98.45,22,Female,2,1,1,High
DC03805,2022-01-07,Delhi,Educational Zone,Cannabis,Possession,28.01,17,Female,1,0,1,Low
DC04266,2022-01-08,Bengaluru,Nightlife District,MDMA,Public Consumption,16.99,14,Male,0,0,1,Low
DC04906,2022-01-08,Mumbai,Urban Residential,Heroin,Possession,16.03,26,Male,1,0,1,Low
DC02915,2022-01-09,Mumbai,Nightlife District,Cannabis,Possession,11.27,25,Male,1,0,0,Low
DC01125,2022-01-09,Kolkata,Commercial Zone,Cocaine,Possession,29.87,27,Female,1,0,1,Low
DC03709,2022-01-09,Delhi,Educational Zone,Prescription Drugs,Possession,20.41,16,Male,3,1,1,Low
DC00872,2022-01-10,Delhi,Commercial Zone,MDMA,Possession,5.0,31,Male,4,1,0,Medium
DC02886,2022-01-10,Lucknow,Urban Residential,MDMA,Possession,11.33,31,Male,1,0,1,Low
DC04557,2022-01-10,Kolkata,Rural/Outskirts,Cannabis,Possession,4.14,35,Male,3,1,1,Low
DC00252,2022-01-11,Delhi,Rural/Outskirts,Cannabis,Possession,2.46,31,Male,3,1,0,Low
DC04904,2022-01-11,Delhi,Urban Residential,MDMA,Possession,5.99,26,Female,0,0,1,Low
DC02187,2022-01-11,Jaipur,Commercial Zone,Cocaine,Distribution,19.72,30,Male,0,0,1,Low
DC03015,2022-01-11,Kolkata,Urban Residential,Prescription Drugs,Distribution,63.89,44,Male,3,1,0,Medium
DC04961,2022-01-12,Hyderabad,Industrial Area,Other Synthetic,Possession,3.49,24,Male,1,0,0,Low
DC03617,2022-01-12,Hyderabad,Urban Residential,Other Synthetic,Public Consumption,16.97,15,Male,3,1,1,Medium
DC02309,2022-01-12,Mumbai,Commercial Zone,Cannabis,Possession,32.15,14,Female,2,1,1,Low
DC04348,2022-01-12,Hyderabad,Industrial Area,Cannabis,Possession,16.44,36,Male,3,1,1,Low
DC03367,2022-01-12,Delhi,Urban Residential,Methamphetamine,Public Consumption,13.86,20,Male,2,1,1,Low
DC03138,2022-01-13,Pune,Commercial Zone,Cocaine,Possession,7.63,29,Male,0,0,0,Low
DC01468,2022-01-13,Delhi,Urban Residential,Heroin,Distribution,4.11,25,Male,0,0,1,Low
DC02916,2022-01-13,Kolkata,Commercial Zone,Cannabis,Possession,47.02,18,Female,0,0,0,Low
